ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000055147,ENSG00000055147,,,,,,,6757.0,0.4181379726121781,0.07035920914039875,,,,,,,,,,,,,1,0.4181379726121781,0.07035920914039875,2.4884971817525767
ENSG00000186417,ENSG00000186417,,,,2469.0,0.45889059416794564,0.029514715349550167,,,,,,,,,,,,,,,,1,0.45889059416794564,0.029514715349550167,2.488405309517496
ENSG00000172530,ENSG00000172530,,,,2588.0,0.43279982459986843,0.05558461812173455,,,,,,,,,,,,,,,,1,0.43279982459986843,0.05558461812173455,2.4883844427216033
ENSG00000077514,ENSG00000077514,,,,,,,6759.0,0.4179657221600207,0.07034640660404294,,,,,,,,,,,,,1,0.4179657221600207,0.07034640660404294,2.488312128764064
ENSG00000221909,ENSG00000221909,,,,,,,6760.0,0.41787959693394194,0.07034006880452967,,,,,,,,,,,,,1,0.41787959693394194,0.07034006880452967,2.4882196657384714
ENSG00000141526,ENSG00000141526,,,,2907.0,0.3628590221442666,0.1253430543982606,,,,,,,,,,,,,,,,1,0.3628590221442666,0.1253430543982606,2.4882020765425272
ENSG00000130021,ENSG00000130021,,,,,,,6762.0,0.41770734648178454,0.0703103292016635,,,,,,,,,,,,,1,0.41770734648178454,0.0703103292016635,2.488017675683448
ENSG00000178814,ENSG00000178814,,,,,,,6765.0,0.41744897080354837,0.07025955426994072,,,,,,,,,,,,,1,0.41744897080354837,0.07025955426994072,2.487708525073489
ENSG00000138459,ENSG00000138459,,,,,,,6769.0,0.41710446989923344,0.07022401181773479,,,,,,,,,,,,,1,0.41710446989923344,0.07022401181773479,2.4873284817169683
ENSG00000172086,ENSG00000172086,,,,,,,6770.0,0.4170183446731548,0.07020194285633957,,,,,,,,,,,,,1,0.4170183446731548,0.07020194285633957,2.487220287529494
