gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000153443,4718.0,12.042289,1.6987237,1,4716.795771121979,ENSG00000153443
ENSG00000138138,4719.0,12.041897,3.3860116,1,4717.795810341835,ENSG00000138138
ENSG00000184254,4720.0,12.041309,7.99362,1,4718.795869112015,ENSG00000184254
ENSG00000087365,4721.0,12.03977,5.988885,1,4719.796023011208,ENSG00000087365
ENSG00000138750,4722.0,12.0388775,3.6042604,1,4720.796112298965,ENSG00000138750
ENSG00000184349,4723.0,12.03762,5.236322,1,4721.796238064766,ENSG00000184349
ENSG00000090316,4724.0,12.033494,3.5404255,1,4722.796650648117,ENSG00000090316
ENSG00000073712,4725.0,12.030424,4.5232396,1,4723.796957612038,ENSG00000073712
ENSG00000197429,4726.0,12.027346,2.9453518,1,4724.797265410423,ENSG00000197429
ENSG00000110871,4727.0,12.026806,3.1319318,1,4725.797319412231,ENSG00000110871
ENSG00000175938,4728.0,12.026539,2.729287,1,4726.797346115112,ENSG00000175938
ENSG00000007520,4729.0,12.024968,2.3948073,1,4727.797503232956,ENSG00000007520
ENSG00000066027,4730.0,12.023618,1.4170071,1,4728.797638177872,ENSG00000066027
ENSG00000118855,4731.0,12.023013,2.5262582,1,4729.797698736191,ENSG00000118855
ENSG00000119943,4732.0,12.012595,6.3382273,1,4730.798740506172,ENSG00000119943
ENSG00000164924,4733.0,12.009639,36.05091,1,4731.79903614521,ENSG00000164924
ENSG00000178761,4734.0,12.005621,3.3571107,1,4732.799437880516,ENSG00000178761
ENSG00000132842,4735.0,12.002109,1.9660728,1,4733.799789190292,ENSG00000132842
ENSG00000196233,4736.0,11.997216,1.209986,1,4734.800278425217,ENSG00000196233
ENSG00000070770,4737.0,11.9950285,3.1750925,1,4735.800497174263,ENSG00000070770
ENSG00000187535,4738.0,11.992784,4.932216,1,4736.800721645355,ENSG00000187535
ENSG00000198142,4739.0,11.989385,2.7748115,1,4737.80106151104,ENSG00000198142
ENSG00000114904,4740.0,11.986489,3.7078276,1,4738.801351070404,ENSG00000114904
ENSG00000154945,4741.0,11.980235,3.197308,1,4739.801976442337,ENSG00000154945
ENSG00000108510,4742.0,11.975046,1.527875,1,4740.802495360374,ENSG00000108510
ENSG00000169359,4743.0,11.971552,2.228622,1,4741.802844762802,ENSG00000169359
ENSG00000196074,4744.0,11.969354,4.582928,1,4742.803064584732,ENSG00000196074
