gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000104774,141.66666666666666,8.424045,50.63173,3,140.82426218191782,ENSG00000104774
ENSG00000004799,142.33333333333334,12.6316595,38.22799,3,141.0701673825582,PDK4
ENSG00000173369,145.0,24.945992,inf,3,142.5054008960724,C1QB
ENSG00000059377,145.0,14.976628,78.89255,3,143.50233721733093,ENSG00000059377
ENSG00000165029,146.0,9.175957,20.711163,3,145.08240431547165,ENSG00000165029
ENSG00000173706,148.33333333333334,22.91894,4.776851,3,146.04143937428793,ENSG00000173706
ENSG00000107562,149.66666666666666,30.493425,6.75612,3,146.61732403437296,CXCL12
ENSG00000137831,150.33333333333334,24.453047,1.4565883,3,147.88802870114645,ENSG00000137831
ENSG00000085514,153.33333333333334,18.6063,26.979063,3,151.47270329793295,ENSG00000085514
ENSG00000147862,157.66666666666666,22.677134,4.0670886,3,155.3989533583323,ENSG00000147862
ENSG00000169744,158.33333333333334,24.318556,6.6395493,3,155.901477654775,ENSG00000169744
ENSG00000140678,157.66666666666666,17.586077,20.589182,3,155.90805904070535,ENSG00000140678
ENSG00000138964,159.0,9.132107,39.960457,3,158.08678930997849,ENSG00000138964
ENSG00000150337,161.33333333333334,16.882738,93.33593,3,159.64505954583487,FCGR1A
ENSG00000123130,161.0,11.033851,17.371206,3,159.89661490917206,ENSG00000123130
ENSG00000159189,163.0,23.268486,inf,3,160.6731514930725,C1QC
ENSG00000152484,161.66666666666666,9.180845,3.4877288,3,160.7485821644465,ENSG00000152484
ENSG00000123989,163.33333333333334,19.046133,2.1333635,3,161.42872007687888,ENSG00000123989
ENSG00000178726,164.66666666666666,15.0447645,8.87049,3,163.16219023863474,ENSG00000178726
ENSG00000111679,166.33333333333334,14.453031,45.15443,3,164.88803025086722,ENSG00000111679
ENSG00000125726,166.0,8.632415,3.0849113,3,165.1367585062981,ENSG00000125726
ENSG00000119523,166.66666666666666,11.168195,1.9657902,3,165.5498471657435,ENSG00000119523
ENSG00000168938,170.0,29.537842,3.6234715,3,167.04621577262878,ENSG00000168938
ENSG00000116962,179.33333333333334,27.538218,3.4021838,3,176.57951148351034,ENSG00000116962
ENSG00000115758,178.0,10.498111,2.0533245,3,176.95018887519836,ENSG00000115758
ENSG00000107968,179.33333333333334,10.499376,59.19408,3,178.2833957274755,ENSG00000107968
ENSG00000149212,181.66666666666663,7.3580337,2.5148244,3,180.9308633009593,ENSG00000149212
ENSG00000152661,184.33333333333331,21.001543,3.7460327,3,182.23317893346152,ENSG00000152661
