gene,freq,mean_rank,score,symbol
ENSG00000129226,3,1488.6666666666667,2.0075555555555558,CD68
ENSG00000126549,2,321.5,1.7856666666666667,STATH
ENSG00000222019,2,785.0,1.4766666666666666,URAHP
ENSG00000266420,2,859.0,1.4273333333333331,RN7SL118P
ENSG00000232333,2,895.5,1.403,RPS27AP2
ENSG00000211633,2,930.0,1.38,IGKV1D-42
ENSG00000179967,2,985.0,1.3433333333333333,PPP1R14BP3
ENSG00000207175,2,1023.0,1.318,RNU1-67P
ENSG00000101323,2,1048.5,1.3010000000000002,HAO1
ENSG00000258886,2,1061.0,1.2926666666666666,HIGD1AP17
ENSG00000263360,2,1072.0,1.2853333333333334,RN7SL134P
ENSG00000182156,2,1073.0,1.2846666666666666,ENPP7
ENSG00000149435,2,1091.0,1.2726666666666666,GGTLC1
ENSG00000213885,2,1093.0,1.2713333333333332,RPL13AP7
ENSG00000242142,2,1093.5,1.271,SERBP1P3
ENSG00000176294,2,1097.0,1.2686666666666668,OR4N2
ENSG00000224411,2,1102.0,1.2653333333333334,HSP90AA2P
ENSG00000127589,2,1112.5,1.2583333333333333,TUBBP1
ENSG00000230337,2,1129.0,1.2473333333333332,EXOSC10-AS1
ENSG00000273265,2,1132.5,1.245,CNNM3-DT
ENSG00000175766,2,1134.5,1.2436666666666667,EIF4E1B
ENSG00000202415,2,1139.0,1.2406666666666668,RN7SKP269
ENSG00000225552,2,1145.5,1.2363333333333333,NAALADL2-AS1
ENSG00000227802,2,1150.0,1.2333333333333334,DNAJB3
ENSG00000227939,2,1153.0,1.2313333333333332,RPL3P2
ENSG00000250539,2,1155.5,1.229666666666667,KRT8P33
ENSG00000250290,2,1156.0,1.2293333333333334,NCAPGP1
ENSG00000214273,2,1156.5,1.229,AGGF1P1
ENSG00000227543,2,1167.0,1.222,SPAG5-AS1
ENSG00000132872,2,1171.5,1.219,SYT4
ENSG00000187682,2,1183.0,1.2113333333333334,ERAS
ENSG00000255071,2,1191.5,1.2056666666666669,SAA2-SAA4
ENSG00000237984,2,1192.5,1.205,PTENP1
ENSG00000225025,2,1194.0,1.204,KIF4CP
ENSG00000105988,2,1195.5,1.2029999999999998,NHP2P1
ENSG00000228808,2,1197.5,1.2016666666666669,HMGB3P4
ENSG00000240138,2,1207.0,1.1953333333333334,EEF1GP4
ENSG00000213051,2,1216.0,1.1893333333333334,RPL5P5
ENSG00000250182,2,1229.0,1.1806666666666668,EEF1A1P13
ENSG00000250170,2,1238.0,1.1746666666666663,RASA2-IT1
ENSG00000159182,2,1248.5,1.1676666666666666,PRAC1
ENSG00000225076,2,1253.5,1.1643333333333334,WWC3-AS1
ENSG00000179055,2,1258.0,1.161333333333333,OR13D1
ENSG00000205231,2,1270.5,1.153,TTLL10-AS1
ENSG00000243592,2,1271.0,1.1526666666666667,RPL17P22
ENSG00000187689,2,1271.0,1.1526666666666667,AMTN
ENSG00000236762,2,1282.5,1.145,RPL19P16
ENSG00000128276,2,1284.0,1.144,RFPL3
ENSG00000122711,2,1289.0,1.1406666666666667,SPINK4
ENSG00000102145,2,1295.0,1.1366666666666667,GATA1
ENSG00000234925,2,1296.0,1.136,ATP5PDP4
ENSG00000234965,2,1299.5,1.1336666666666666,SHISA8
ENSG00000229133,2,1304.0,1.1306666666666667,RPS7P4
ENSG00000224034,2,1305.0,1.13,LINC02561
ENSG00000188585,2,1309.0,1.1273333333333333,CLEC20A
ENSG00000171855,2,1311.0,1.126,IFNB1
ENSG00000177462,2,1314.5,1.1236666666666668,OR2T8
ENSG00000275874,2,1315.0,1.1233333333333333,PICSAR
ENSG00000180720,2,1315.5,1.123,CHRM4
ENSG00000137090,2,1315.5,1.123,DMRT1
ENSG00000232393,2,1319.0,1.1206666666666667,RPL5P6
ENSG00000214832,2,1321.5,1.119,UPF3AP2
ENSG00000222222,2,1322.0,1.1186666666666667,RNU2-17P
ENSG00000261205,2,1322.0,1.1186666666666667,NIFKP4
ENSG00000180638,2,1323.0,1.118,SLC47A2
ENSG00000265093,2,1323.0,1.118,RN7SL246P
ENSG00000249264,2,1325.0,1.1166666666666667,EEF1A1P9
ENSG00000242285,2,1326.0,1.116,RPL6P8
ENSG00000250562,2,1329.5,1.1136666666666666,RPL38P4
ENSG00000158571,2,1330.0,1.1133333333333333,PFKFB1
ENSG00000257576,2,1330.0,1.1133333333333333,HSPD1P4
ENSG00000253365,2,1332.0,1.112,IGKV1D-22
ENSG00000237007,2,1332.5,1.1116666666666668,KRT18P52
ENSG00000228807,2,1332.5,1.1116666666666668,MRPS18CP6
ENSG00000166736,2,1332.5,1.1116666666666668,HTR3A
ENSG00000230793,2,1336.0,1.1093333333333333,SMARCE1P5
ENSG00000238172,2,1336.5,1.109,RPS2P35
ENSG00000236345,2,1337.5,1.1083333333333334,SCAT8
ENSG00000241081,2,1341.0,1.106,RPL22P2
ENSG00000212176,2,1342.0,1.1053333333333333,RNA5SP207
ENSG00000277374,2,1343.5,1.1043333333333334,U1
ENSG00000120937,2,1344.0,1.104,NPPB
ENSG00000206147,2,1346.0,1.102666666666667,RPL23AP57
ENSG00000226428,2,1346.5,1.1023333333333334,RPL15P13
ENSG00000236307,2,1349.0,1.100666666666667,EEF1E1P1
ENSG00000214062,2,1350.5,1.0996666666666668,RPL7P17
ENSG00000265102,2,1353.0,1.098,MIR3942
ENSG00000230564,2,1353.0,1.098,CALM1P2
ENSG00000266563,2,1356.0,1.096,EIF1P5
ENSG00000086967,2,1360.5,1.093,MYBPC2
ENSG00000224858,2,1362.0,1.092,RPL29P11
ENSG00000146755,2,1374.5,1.0836666666666668,TRIM50
ENSG00000227256,2,1376.0,1.0826666666666669,MIS18A-AS1
ENSG00000145839,2,1377.0,1.082,IL9
ENSG00000117322,2,1379.0,1.0806666666666669,CR2
ENSG00000264438,2,1385.0,1.0766666666666669,RN7SL560P
ENSG00000281183,2,1386.5,1.0756666666666668,NPTN-IT1
ENSG00000204653,2,1400.5,1.0663333333333334,ASPDH
ENSG00000207205,2,1405.5,1.063,RNVU1-15
ENSG00000214182,2,1407.0,1.062,PTMAP5
ENSG00000234912,2,1413.5,1.0576666666666663,SNHG20
ENSG00000234664,2,1417.0,1.0553333333333337,HMGN2P5
ENSG00000228929,2,1419.5,1.0536666666666663,RPS13P2
ENSG00000231160,2,1420.5,1.053,KLF3-AS1
ENSG00000123201,2,1422.5,1.0516666666666667,GUCY1B2
ENSG00000218265,2,1423.5,1.0510000000000002,RPS4XP7
ENSG00000235297,2,1427.5,1.0483333333333331,FAUP1
ENSG00000131002,2,1429.5,1.0470000000000002,TXLNGY
ENSG00000260549,2,1433.5,1.0443333333333331,MT1L
ENSG00000103355,2,1434.0,1.044,PRSS33
ENSG00000253959,2,1436.5,1.0423333333333331,LINC01863
ENSG00000259706,2,1437.0,1.042,HSP90B2P
ENSG00000234409,2,1439.0,1.0406666666666666,CCDC188
ENSG00000265962,2,1445.0,1.0366666666666666,GACAT2
ENSG00000166573,2,1456.5,1.029,GALR1
ENSG00000253338,2,1457.5,1.028333333333333,IGLV3-29
ENSG00000058404,2,1460.5,1.026333333333333,CAMK2B
ENSG00000211641,2,1461.0,1.026,IGLV11-55
ENSG00000131797,2,1461.5,1.0256666666666665,CLUHP3
ENSG00000228262,2,1461.5,1.0256666666666665,LINC01320
ENSG00000205361,2,1464.5,1.0236666666666667,MT1DP
ENSG00000150783,2,1468.0,1.0213333333333332,TEX12
ENSG00000241549,2,1471.0,1.0193333333333334,GUSBP2
ENSG00000054803,2,1472.0,1.0186666666666668,CBLN4
ENSG00000213432,2,1474.5,1.017,RPL17P34
ENSG00000155918,2,1480.0,1.0133333333333332,RAET1L
ENSG00000176153,2,1481.5,1.0123333333333333,GPX2
ENSG00000254838,2,1485.5,1.0096666666666667,GVINP1
ENSG00000267712,2,1490.5,1.0063333333333333,LINC01539
ENSG00000270813,1,741.0,0.506,NANOGNBP3
ENSG00000239742,1,751.0,0.4993333333333333,RN7SL672P
ENSG00000233426,1,825.0,0.4499999999999999,EIF3FP3
ENSG00000239198,1,864.0,0.424,RPL5P22
ENSG00000233380,1,913.0,0.3913333333333333,RPS2P48
ENSG00000242979,1,937.0,0.3753333333333333,RPS15AP18
ENSG00000210151,1,981.0,0.346,MT-TS1
ENSG00000228499,1,987.0,0.3419999999999999,TMSB10P1
ENSG00000219163,1,1013.0,0.3246666666666666,HMGB1P20
ENSG00000224451,1,1032.0,0.312,ATP5PBP1
ENSG00000283361,1,1063.0,0.2913333333333333,CFAP97D2
ENSG00000215016,1,1077.0,0.282,RPL24P7
ENSG00000254884,1,1080.0,0.28,PRR13P2
ENSG00000213492,1,1097.0,0.2686666666666667,NT5C3AP1
ENSG00000211693,1,1118.0,0.2546666666666667,TRGV11
ENSG00000242085,1,1120.0,0.2533333333333333,RPS20P33
ENSG00000270441,1,1135.0,0.2433333333333333,LAMB2P1
ENSG00000204173,1,1137.0,0.242,LRRC37A5P
ENSG00000258673,1,1146.0,0.236,LINC01397
ENSG00000283948,1,1148.0,0.2346666666666667,IGHVIII-16-1
ENSG00000242320,1,1163.0,0.2246666666666666,RPL21P126
ENSG00000225246,1,1177.0,0.2153333333333333,RPS2P1
ENSG00000204837,1,1179.0,0.2139999999999999,FGF7P3
ENSG00000273540,1,1206.0,0.1959999999999999,AGBL1
ENSG00000199883,1,1207.0,0.1953333333333333,RN7SKP90
ENSG00000240342,1,1221.0,0.186,RPS2P5
ENSG00000237522,1,1229.0,0.1806666666666666,NONOP2
ENSG00000267717,1,1237.0,0.1753333333333333,SRSF10P1
ENSG00000161973,1,1249.0,0.1673333333333333,CCDC42
ENSG00000214439,1,1253.0,0.1646666666666666,FAM185BP
ENSG00000186235,1,1256.0,0.1626666666666666,LINC02610
ENSG00000282164,1,1258.0,0.1613333333333333,PEG13
ENSG00000227097,1,1263.0,0.158,RPS28P7
ENSG00000230409,1,1263.0,0.158,TCEA1P2
ENSG00000156006,1,1264.0,0.1573333333333333,NAT2
ENSG00000169006,1,1271.0,0.1526666666666666,NTSR2
ENSG00000264229,1,1275.0,0.15,RNU4ATAC
ENSG00000236751,1,1275.0,0.15,LINC01186
ENSG00000236463,1,1278.0,0.148,LINC00427
ENSG00000165588,1,1289.0,0.1406666666666667,OTX2
ENSG00000197744,1,1290.0,0.14,PTMAP2
ENSG00000274588,1,1295.0,0.1366666666666667,DGKK
ENSG00000173714,1,1295.0,0.1366666666666667,WFIKKN2
ENSG00000259218,1,1297.0,0.1353333333333333,LINC00928
ENSG00000206605,1,1307.0,0.1286666666666667,RNU6-946P
ENSG00000214761,1,1309.0,0.1273333333333333,HNRNPA1P15
ENSG00000169575,1,1313.0,0.1246666666666667,VPREB1
ENSG00000256424,1,1313.0,0.1246666666666667,LINC02414
ENSG00000238228,1,1320.0,0.12,OR7E7P
ENSG00000197938,1,1321.0,0.1193333333333332,OR5H2
ENSG00000232024,1,1326.0,0.1159999999999999,LSM12P1
ENSG00000240905,1,1327.0,0.1153333333333332,RN7SL798P
