gene_symbol,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
PNOC,0,0,0,0,0,0,0
OLR1,0,0,0,0,0,0,0
KRT6B,0,0,0,0,0,0,0
FCRL5,0,0,0,0,0,0,0
ITGBL1,0,0,0,0,0,0,0
TM4SF4,0,0,0,0,0,0,0
IFI6,0,0,0,0,0,0,0
S100A7,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0
SPINK1,0,0,0,0,0,0,0
ORM1,0,0,0,0,0,0,0
PLAC8,0,0,0,0,0,0,0
SNORC,0,0,0,0,0,0,0
ID1,0,0,0,0,0,0,0
INHBA,0,0,0,0,0,0,0
GJB6,0,0,0,0,0,0,0
LGALS1,0,0,0,0,0,0,0
ACTG2,0,0,0,0,0,0,0
F13A1,0,0,0,0,0,0,0
MEOX1,0,0,0,0,0,0,0
SNCG,0,0,0,0,0,0,0
FRZB,0,0,0,0,0,0,0
CASP14,0,0,0,0,0,0,0
APOA1,0,0,0,0,0,0,0
IGLV3-1,0,0,0,0,0,0,0
APCS,0,0,0,0,0,0,0
CLDN10,0,0,0,0,0,0,0
PYDC1,0,0,0,0,0,0,0
GC,0,0,0,0,0,0,0
TFF2,0,0,0,0,0,0,0
BEX1,0,0,0,0,0,0,0
FGB,0,0,0,0,0,0,0
FGA,0,0,0,0,0,0,0
DEPP1,0,0,0,0,0,0,0
CCN1,0,0,0,0,0,0,0
EGFL7,0,0,0,0,0,0,0
DHRS2,0,0,0,0,0,0,0
EDN1,0,0,0,0,0,0,0
IL1RN,0,0,0,0,0,0,0
MSLN,0,0,0,0,0,0,0
GSTA1,0,0,0,0,0,0,0
ORM2,0,0,0,0,0,0,0
HPGD,0,0,0,0,0,0,0
LINC02532,0,0,0,0,0,0,0
GPX3,0,0,0,0,0,0,0
SDS,0,0,0,0,0,0,0
LBP,0,0,0,0,0,0,0
IGLV6-57,0,0,0,0,0,0,0
S100A6,0,0,0,0,0,0,0
ENPP3,0,0,0,0,0,0,0
UBD,0,0,0,0,0,0,0
SAA2,0,0,0,0,0,0,0
PDK4,0,0,0,0,0,0,0
CCL20,0,0,0,0,0,0,0
CXCL1,0,0,0,0,0,0,0
GPX2,0,0,0,0,0,0,0
CAMK2B,0,0,0,0,0,0,0
ESM1,0,0,0,0,0,0,0
FCN3,0,0,0,0,0,0,0
FGFBP2,0,0,0,0,0,0,0
ARHGDIB,0,0,0,0,0,0,0
CD37,0,0,0,0,0,0,0
FXYD3,0,0,0,0,0,0,0
RAC2,0,0,0,0,0,0,0
HCST,0,0,0,0,0,0,0
IL2RG,0,0,0,0,0,0,0
HLA-E,0,0,0,0,0,0,0
S100A13,0,0,0,0,0,0,0
SPINT2,0,0,0,0,0,0,0
CYTIP,0,0,0,0,0,0,0
LCP1,0,0,0,0,0,0,0
LIMD2,0,0,0,0,0,0,0
TNFAIP3,0,0,0,0,0,0,0
CYBA,0,0,0,0,0,0,0
PCOLCE,0,0,0,0,0,0,0
FYB1,0,0,0,0,0,0,0
FXYD5,0,0,0,0,0,0,0
MGST1,0,0,0,0,0,0,0
CLDN4,0,0,0,0,0,0,0
CXCL13,0,0,0,0,0,0,0
ALOX5AP,0,0,0,0,0,0,0
DSTN,0,0,0,0,0,0,0
SH3BGRL3,0,0,0,0,0,0,0
VIM,0,0,0,0,0,0,0
MXRA8,0,0,0,0,0,0,0
ELOB,0,0,0,0,0,0,0
PPDPF,0,0,0,0,0,0,0
DSP,0,0,0,0,0,0,0
MIF,0,0,0,0,0,0,0
NUPR1,0,0,0,0,0,0,0
SMIM22,0,0,0,0,0,0,0
ITGB2,0,0,0,0,0,0,0
ELF3,0,0,0,0,0,0,0
IFITM2,0,0,0,0,0,0,0
ATP5MG,0,0,0,0,0,0,0
SELENOW,0,0,0,0,0,0,0
TPM1,0,0,0,0,0,0,0
ATP5MC3,0,0,0,0,0,0,0
BIRC3,0,0,0,0,0,0,0
ATP5MC2,0,0,0,0,0,0,0
FBLN1,0,0,0,0,0,0,0
CD9,0,0,0,0,0,0,0
FOXP3,0,0,0,0,0,0,0
TRBV5-1,0,0,0,0,0,0,0
EREG,0,0,0,0,0,0,0
TRBV7-2,0,0,0,0,0,0,0
HBB,0,0,0,0,0,0,0
EVL,0,0,0,0,0,0,0
TRBV7-9,0,0,0,0,0,0,0
COX6C,0,0,0,0,0,0,0
COTL1,0,0,0,0,0,0,0
SARAF,0,0,0,0,0,0,0
TPSAB1,0,0,0,0,0,0,0
CLDN3,0,0,0,0,0,0,0
HSP90AB1,0,0,0,0,0,0,0
GPX1,0,0,0,0,0,0,0
IGHV3-23,0,0,0,0,0,0,0
KLRC1,0,0,0,0,0,0,0
MT2A,0,0,0,0,0,0,0
TRBV6-5,0,0,0,0,0,0,0
SAT1,0,0,0,0,0,0,0
S100A11,0,0,0,0,0,0,0
XCL2,0,0,0,0,0,0,0
TRBV3-1,0,0,0,0,0,0,0
TRDC,0,0,0,0,0,0,0
TRBV9,0,0,0,0,0,0,0
TRBV4-1,0,0,0,0,0,0,0
TRBV4-2,0,0,0,0,0,0,0
LINC02446,0,0,0,0,0,0,0
TRBV2,0,0,0,0,0,0,0
SPDEF,0,0,0,0,0,0,0
NPC2,0,0,0,0,0,0,0
TRBV7-6,0,0,0,0,0,0,0
PCED1B-AS1,0,0,0,0,0,0,0
CSTB,0,0,0,0,0,0,0
ALDOA,0,0,0,0,0,0,0
HLA-DMA,0,0,0,0,0,0,0
IGLV3-25,0,0,0,0,0,0,0
TRAV12-2,0,0,0,0,0,0,0
GNG11,0,0,0,0,0,0,0
PRDX1,0,0,0,0,0,0,0
TRBV6-1,0,0,0,0,0,0,0
IGLV1-51,0,0,0,0,0,0,0
TRAV38-2DV8,0,0,0,0,0,0,0
TRAV13-1,0,0,0,0,0,0,0
GPX4,0,0,0,0,0,0,0
NFKBIA,0,0,0,0,0,0,0
TRBV5-6,0,0,0,0,0,0,0
MT1H,0,0,0,0,0,0,0
PDZK1IP1,0,0,0,0,0,0,0
CCL8,0,0,0,0,0,0,0
FBLN2,0,0,0,0,0,0,0
IGLV2-14,0,0,0,0,0,0,0
TRAV21,0,0,0,0,0,0,0
TRAV29DV5,0,0,0,0,0,0,0
SELENOM,0,0,0,0,0,0,0
TRAV3,0,0,0,0,0,0,0
TNFRSF13B,0,0,0,0,0,0,0
TRAV9-2,0,0,0,0,0,0,0
ANXA2,0,0,0,0,0,0,0
ANXA1,0,0,0,0,0,0,0
PI16,0,0,0,0,0,0,0
TRAV14DV4,0,0,0,0,0,0,0
GSTP1,0,0,0,0,0,0,0
GAS5,0,0,0,0,0,0,0
TRAV17,0,0,0,0,0,0,0
ANKRD30A,0,0,0,0,0,0,0
TRAV12-3,0,0,0,0,0,0,0
S100A12,0,0,0,0,0,0,0
CXCL10,0,0,0,0,0,0,0
TRAV19,0,0,0,0,0,0,0
TPI1,0,0,0,0,0,0,0
ENO1,0,0,0,0,0,0,0
IGLV1-40,0,0,0,0,0,0,0
SLC17A3,0,0,0,0,0,0,0
PKM,0,0,0,0,0,0,0
IGLV2-23,0,0,0,0,0,0,0
EMCN,0,0,0,0,0,0,0
TRAV8-4,0,0,0,0,0,0,0
FCER2,0,0,0,0,0,0,0
PLD4,0,0,0,0,0,0,0
CRP,0,0,0,0,0,0,0
LGALS3,0,0,0,0,0,0,0
DERL3,0,0,0,0,0,0,0
FCRL3,0,0,0,0,0,0,0
HSPE1,0,0,0,0,0,0,0
TRAV1-2,0,0,0,0,0,0,0
IGLV2-8,0,0,0,0,0,0,0
PSAP,0,0,0,0,0,0,0
IGHV3-30,0,0,0,0,0,0,0
SLC5A12,0,0,0,0,0,0,0
DDIT4,0,0,0,0,0,0,0
CXCR5,0,0,0,0,0,0,0
CXCR6,0,0,0,0,0,0,0
KLRD1,0,0,0,0,0,0,0
KDR,0,0,0,0,0,0,0
CCL17,0,0,0,0,0,0,0
KLRG1,0,0,0,0,0,0,0
UBE2C,0,0,0,0,0,0,0
CX3CR1,0,0,0,0,0,0,0
CDC20,0,0,0,0,0,0,0
CA9,0,0,0,0,0,0,0
CCL21,0,0,0,0,0,0,0
CXCL6,0,0,0,0,0,0,0
IFNG,0,0,0,0,0,0,0
CXCL11,0,0,0,0,0,0,0
HSPA8,0,0,0,0,0,0,0
CD40LG,0,0,0,0,0,0,0
KLRK1,0,0,0,0,0,0,0
CCR2,0,0,0,0,0,0,0
CD1C,0,0,0,0,0,0,0
IL17A,0,0,0,0,0,0,0
IL17F,0,0,0,0,0,0,0
CCL7,0,0,0,0,0,0,0
CXCL5,0,0,0,0,0,0,0
IL1A,0,0,0,0,0,0,0
CSF2,0,0,0,0,0,0,0
CSF3,0,0,0,0,0,0,0
DKK1,0,0,0,0,0,0,0
CCL1,0,0,0,0,0,0,0
CCL11,0,0,0,0,0,0,0
CCL24,0,0,0,0,0,0,0
CXCR1,0,0,0,0,0,0,0
ROS1,0,0,0,0,0,0,0
IL6,0,0,0,0,0,0,0
IL2,0,0,0,0,0,0,0
IL21,0,0,0,0,0,0,0
MARCO,0,0,0,0,0,0,0
CLEC9A,0,0,0,0,0,0,0
CCL13,0,0,0,0,0,0,0
CCR9,0,0,0,0,0,0,0
CCL25,0,0,0,0,0,0,0
IL4,0,0,0,0,0,0,0
TNFSF18,0,0,0,0,0,0,0
SIGLEC10,0,0,0,0,0,0,0
HLA-DQB1,0,0,0,0,0,0,0
RORC,0,0,0,0,0,0,0
CD3G,0,0,0,0,0,0,0
CD38,0,0,0,0,0,0,0
TOX,0,0,0,0,0,0,0
HLA-DRB1,0,0,0,0,0,0,0
CCR4,0,0,0,0,0,0,0
NRP1,0,0,0,0,0,0,0
IKZF2,0,0,0,0,0,0,0
IL2RA,0,0,0,0,0,0,0
MERTK,0,0,0,0,0,0,0
PRDM1,0,0,0,0,0,0,0
HAVCR2,0,0,0,0,0,0,0
CD4,0,0,0,0,0,0,0
TBX21,0,0,0,0,0,0,0
BCL6,0,0,0,0,0,0,0
HLA-DPB1,0,0,0,0,0,0,0
HLA-DRA,0,0,0,0,0,0,0
PDCD1,0,0,0,0,0,0,0
CCR5,0,0,0,0,0,0,0
PTPRC,0,0,0,0,0,0,0
SIGLEC1,0,0,0,0,0,0,0
SIRPB1,0,0,0,0,0,0,0
GATA3,0,0,0,0,0,0,0
LILRB2,0,0,0,0,0,0,0
ITGAX,0,0,0,0,0,0,0
IRF4,0,0,0,0,0,0,0
FCGR3B,0,0,0,0,0,0,0
CD79B,0,0,0,0,0,0,0
XBP1,0,0,0,0,0,0,0
ITGAL,0,0,0,0,0,0,0
LILRB1,0,0,0,0,0,0,0
SIRPA,0,0,0,0,0,0,0
CCR8,0,0,0,0,0,0,0
TCF7,0,0,0,0,0,0,0
BATF,0,0,0,0,0,0,0
HLA-B,0,0,0,0,0,0,0
PDPN,0,0,0,0,0,0,0
ITGAM,0,0,0,0,0,0,0
ENG,0,0,0,0,0,0,0
LAMP3,0,0,0,0,0,0,0
HLA-DPA1,0,0,0,0,0,0,0
MPO,0,0,0,0,0,0,0
HLA-C,0,0,0,0,0,0,0
CCR10,0,0,0,0,0,0,0
CD28,0,0,0,0,0,0,0
ICOS,0,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0,0
HLA-A,0,0,0,0,0,0,0
SDC1,0,0,0,0,0,0,0
LILRA4,0,0,0,0,0,0,0
MCAM,0,0,0,0,0,0,0
LEF1,0,0,0,0,0,0,0
CTLA4,0,0,0,0,0,0,0
MRC1,0,0,0,0,0,0,0
CCR6,0,0,0,0,0,0,0
CCL14,0,0,0,0,0,0,0
IL33,0,0,0,0,0,0,0
PDCD1LG2,0,0,0,0,0,0,0
CXCL4,0,0,0,0,0,0,0
CCL12,0,0,0,0,0,0,0
