gene_symbol,ensembl_id_x,category_major,category_minor,methods_present,aggregate_rank,aggregate_score,bio_relevance_score_0to5,rationale_short,spatial_suitability,pct_expr,mean_expr,gini_proxy,ensembl_id_y,aggregate_score_y,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
CD8A,ENSG00000153563,Immune_lineage_state,Immune_other,,50.0,15.216599368919749,2.6103733239653075,Immune other marker,Yes,18.953983946777697,0.473719630106055,2.1739350410048965,ENSG00000153563,15.216599368919749,0,0,0,0,0,0,0
IGFBP5,ENSG00000115461,Other,Other,,51.0,15.214153474658987,1.1969593311030315,High-ranking informative gene,Yes,12.862244023588175,0.2787649569328203,0.6405930178196667,ENSG00000115461,15.214153474658987,0,0,0,0,0,0,0
JCHAIN,ENSG00000132465,Other,Other,,52.0,15.199844005878004,1.0155547324122591,High-ranking informative gene,Yes,5.820346630480898,0.1304947478027756,3.093906549877245,ENSG00000132465,15.199844005878004,0,0,0,0,0,0,0
AEBP1,ENSG00000106624,Other,Other,,53.0,15.195896575510458,1.238057310215857,High-ranking informative gene,Yes,14.509708069595805,0.2938542324378781,0.2018494213592061,ENSG00000106624,15.195896575510458,0,0,0,0,0,0,0
VCAN,ENSG00000038427,Other,Other,,54.0,15.19127969059168,1.1843556293039246,High-ranking informative gene,Yes,11.953947423870815,0.247418351718634,1.3558275898441472,ENSG00000038427,15.19127969059168,0,0,0,0,0,0,0
CTHRC1,ENSG00000164932,Other,Other,,55.0,15.190290529008731,1.218791854919146,High-ranking informative gene,Yes,13.673895392775776,0.2928804856661356,0.4336995526090825,ENSG00000164932,15.190290529008731,0,0,0,0,0,0,0
MS4A6A,ENSG00000110077,Other,Other,,56.0,15.1875530123011,1.0741857846176002,High-ranking informative gene,Yes,8.644410169101064,0.1771004048797421,1.8552190190597075,ENSG00000110077,15.1875530123011,0,0,0,0,0,0,0
APOD,ENSG00000189058,Other,Other,,57.0,15.17751497892666,1.414982700913352,High-ranking informative gene,Yes,14.12649849272772,0.3125469726752101,5.066987855024821,ENSG00000189058,15.17751497892666,0,0,0,0,0,0,0
COL5A1,ENSG00000130635,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,58.0,15.176568227111751,1.8083320722103744,ECM Fibroblast,Yes,8.091509547930698,0.1569200273739921,0.1284466468533965,ENSG00000130635,15.176568227111751,0,0,0,0,0,0,0
CXCL12,ENSG00000107562,Cytokines_Chemokines_Checkpoints,Chemokine,,59.0,15.173315192142548,2.292611070911416,Chemokine,Yes,9.614233819649884,0.1886710220255368,0.4729834381301309,ENSG00000107562,15.173315192142548,0,0,0,0,0,0,0
CLDN5,ENSG00000184113,Other,Other,,60.0,15.17284609152214,0.7992026732581137,High-ranking informative gene,Yes,2.880252626137477,0.0651227828069062,0.4722744244166293,ENSG00000184113,15.17284609152214,0,0,0,0,0,0,0
TIMP3,ENSG00000100234,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,61.0,15.168633656455636,2.159294985110776,ECM Fibroblast,Yes,16.87611149038746,0.3244991317884114,0.5036748149547423,ENSG00000100234,15.168633656455636,0,0,0,0,0,0,0
ASPN,ENSG00000106819,Other,Other,,62.0,15.16467594272787,0.8984575550521977,High-ranking informative gene,Yes,5.473379015061482,0.1065690850394983,0.5350969201388112,ENSG00000106819,15.16467594272787,0,0,0,0,0,0,0
DPT,ENSG00000143196,Other,Other,,63.0,15.158697135852911,0.8640169480489239,High-ranking informative gene,Yes,4.911769085325929,0.0909414915914156,0.2395913421805832,ENSG00000143196,15.158697135852911,0,0,0,0,0,0,0
ADIRF,ENSG00000148671,Other,Other,,64.0,15.1557817007005,1.2963412073319964,High-ranking informative gene,Yes,16.1956616405528,0.3192842419737494,0.1299949925302885,ENSG00000148671,15.1557817007005,0,0,0,0,0,0,0
C1S,ENSG00000182326,Other,Other,,65.0,15.15258268770526,1.2277702157903445,High-ranking informative gene,Yes,13.205278402881376,0.2627327166531611,1.3433411654339764,ENSG00000182326,15.15258268770526,0,0,0,0,0,0,0
KRT5,ENSG00000186081,Hypoxia_Angiogenesis_EMT_ECM_Vascular,EMT_Epithelial,,66.0,15.152536284833538,1.6375086779999335,EMT Epithelial,Yes,3.0968615585167214,0.0671647206178984,0.6620939561597686,ENSG00000186081,15.152536284833538,0,0,0,0,0,0,0
SFRP4,ENSG00000106483,Other,Other,,67.0,15.152258885105551,0.8641567648805111,High-ranking informative gene,Yes,4.35718279153005,0.099708833937501,0.6663747934603848,ENSG00000106483,15.152258885105551,0,0,0,0,0,0,0
RAMP2,ENSG00000131477,Other,Other,,68.0,15.145736083758374,0.9838835606430812,High-ranking informative gene,Yes,8.170455215892531,0.1310223361922167,0.2829279124784784,ENSG00000131477,15.145736083758374,0,0,0,0,0,0,0
CXCL14,ENSG00000145824,Other,Other,,69.0,15.14102033808367,1.079003461576141,High-ranking informative gene,Yes,9.7100362138669,0.2307161983097188,0.7139362880971049,ENSG00000145824,15.14102033808367,0,0,0,0,0,0,0
MMP11,ENSG00000099953,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,70.0,15.136485229557074,1.7844778729958086,ECM Fibroblast,Yes,5.814727721729156,0.1273590210980119,1.7408909962959842,ENSG00000099953,15.136485229557074,0,0,0,0,0,0,0
IGLC2,ENSG00000211677,Other,Other,,71.0,15.135155332418618,1.623573732529742,High-ranking informative gene,Yes,5.839450920236772,0.1100316173477025,19.285759383150584,ENSG00000211677,15.135155332418618,0,0,0,0,0,0,0
ACKR1,ENSG00000213088,Other,Other,,72.0,15.133308348803654,0.7759020691420105,High-ranking informative gene,Yes,1.8393497798792569,0.048627984081465,0.9303210223298582,ENSG00000213088,15.133308348803654,0,0,0,0,0,0,0
CLU,ENSG00000120885,Other,Other,,73.0,15.128463034583197,1.44769494599558,High-ranking informative gene,Yes,19.255157455870503,0.3529050678199791,1.238199604332835,ENSG00000120885,15.128463034583197,0,0,0,0,0,0,0
COL4A1,ENSG00000187498,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,74.0,15.119131598239246,1.818896955207572,ECM Fibroblast,Yes,8.307556589434768,0.1528720024094354,0.3153644768863025,ENSG00000187498,15.119131598239246,0,0,0,0,0,0,0
