gene,score
ENSG00000204936,
ENSG00000211652,
ENSG00000163106,
ENSG00000112299,
ENSG00000134827,
ENSG00000167755,
ENSG00000197520,
ENSG00000130287,
ENSG00000211785,
ENSG00000161798,
ENSG00000151632,
ENSG00000211696,
ENSG00000211776,
ENSG00000211794,
ENSG00000211649,
ENSG00000167094,
ENSG00000086696,
ENSG00000158488,
ENSG00000102970,
ENSG00000179088,
ENSG00000138684,
ENSG00000274752,
ENSG00000100170,
ENSG00000211803,
ENSG00000233355,
ENSG00000188505,
ENSG00000230099,
ENSG00000241657,
ENSG00000130173,
ENSG00000211724,
ENSG00000276566,
ENSG00000235954,
ENSG00000156222,
ENSG00000123838,
ENSG00000112115,
ENSG00000104918,
ENSG00000165646,
ENSG00000283683,
ENSG00000235532,
ENSG00000271856,
ENSG00000211812,
ENSG00000096006,
ENSG00000140873,
ENSG00000146678,
ENSG00000264745,
ENSG00000236058,
ENSG00000248144,
ENSG00000131797,
ENSG00000283063,
ENSG00000211946,
ENSG00000112309,
ENSG00000112232,
ENSG00000211714,
ENSG00000180210,
ENSG00000233006,
ENSG00000169031,
ENSG00000157765,
ENSG00000224041,
ENSG00000133063,
ENSG00000169612,
ENSG00000185433,
ENSG00000124602,
ENSG00000122585,
ENSG00000258512,
ENSG00000109471,
ENSG00000211809,
ENSG00000170373,
ENSG00000242534,
ENSG00000140287,
ENSG00000009694,
ENSG00000235174,
ENSG00000006611,
ENSG00000248275,
ENSG00000276953,
ENSG00000249096,
ENSG00000211728,
ENSG00000133800,
ENSG00000215030,
ENSG00000229453,
ENSG00000124102,
ENSG00000260876,
ENSG00000211784,
ENSG00000211821,
ENSG00000211800,
ENSG00000211780,
ENSG00000095917,
ENSG00000163946,
ENSG00000113889,
ENSG00000153822,
ENSG00000181374,
ENSG00000241244,
ENSG00000179818,
ENSG00000244067,
ENSG00000141744,
ENSG00000172156,
ENSG00000211650,
ENSG00000007314,
ENSG00000262406,
ENSG00000169469,
ENSG00000237943,
ENSG00000080618,
ENSG00000215908,
ENSG00000231663,
ENSG00000160226,
ENSG00000187957,
ENSG00000224598,
ENSG00000135220,
ENSG00000230629,
ENSG00000233593,
ENSG00000211669,
ENSG00000160282,
ENSG00000242766,
ENSG00000177504,
ENSG00000169660,
ENSG00000226608,
ENSG00000128040,
ENSG00000230734,
ENSG00000147485,
ENSG00000114771,
ENSG00000165178,
ENSG00000172482,
ENSG00000103245,
ENSG00000166126,
ENSG00000105509,
ENSG00000211802,
ENSG00000241158,
ENSG00000136688,
ENSG00000115602,
ENSG00000138434,
ENSG00000267206,
ENSG00000275791,
ENSG00000163581,
ENSG00000144908,
ENSG00000211779,
ENSG00000196204,
ENSG00000251301,
ENSG00000125375,
ENSG00000146039,
ENSG00000211637,
ENSG00000211815,
ENSG00000211816,
ENSG00000214894,
ENSG00000117215,
ENSG00000145708,
ENSG00000232573,
ENSG00000166589,
ENSG00000211820,
ENSG00000112499,
ENSG00000185038,
ENSG00000159753,
ENSG00000127074,
ENSG00000079689,
ENSG00000170927,
ENSG00000239975,
ENSG00000130037,
ENSG00000178928,
ENSG00000196260,
ENSG00000162267,
ENSG00000151655,
ENSG00000136872,
