gene,gene_nr,selection,rank,marker_rank,tree_rank,importance_score,pca_score,pre_selected,prior_selected,pca_selected,celltypes_DE_1vsall,celltypes_DE_specific,celltypes_DE,celltypes_marker,list_only_ct_marker,required_marker,required_list_marker
ENSG00000010278,184,True,,,,,0.6409653934290608,False,False,False,,,,,False,False,False
ENSG00000129538,185,True,,,,,0.6379934951213322,False,False,False,,,,,False,False,False
ENSG00000133110,186,True,,,,,0.6354963790390987,False,False,False,,,,,False,False,False
ENSG00000106538,187,True,,,,,0.6293398854179606,False,False,False,,,,,False,False,False
ENSG00000211459,188,True,,,,,0.6247727539460952,False,False,False,,,,,False,False,False
ENSG00000211772,189,True,,,,,0.621753999861105,False,False,False,,,,,False,False,False
ENSG00000147168,190,True,,,,,0.6202907957309742,False,False,False,,,,,False,False,False
ENSG00000182866,191,True,,,,,0.6155546107844737,False,False,False,,,,,False,False,False
ENSG00000250722,192,True,,,,,0.6151085310618759,False,False,False,,,,,False,False,False
ENSG00000178372,193,True,,,,,0.6010420511182114,False,False,False,,,,,False,False,False
ENSG00000125868,194,True,,,,,0.5969167796053947,False,False,False,,,,,False,False,False
ENSG00000180644,195,True,,,,,0.5939579791818596,False,False,False,,,,,False,False,False
ENSG00000089692,196,True,,,,,0.5928949322363736,False,False,False,,,,,False,False,False
ENSG00000160182,197,True,,,,,0.592099462204514,False,False,False,,,,,False,False,False
ENSG00000090382,198,True,,,,,0.5900426798192793,False,False,False,Monocyte/Mac,,Monocyte/Mac,Monocyte/Mac,False,False,False
ENSG00000173110,199,True,,,,,0.5892160079023273,False,False,False,,,,,False,False,False
ENSG00000176046,200,True,,,,,0.5867650015286416,False,False,False,,,,,False,False,False
ENSG00000119655,201,True,,,,,0.5865593078676513,False,False,False,,,,,False,False,False
ENSG00000149131,202,True,,,,,0.5845672249244913,False,False,False,,,,,False,False,False
ENSG00000110492,203,True,,,,,0.5838178788964355,False,False,False,,,,,False,False,False
ENSG00000134539,204,True,,,,,0.583756376591929,False,False,False,,,,,False,False,False
ENSG00000012223,205,True,,,,,0.5819916801887601,False,False,False,,,,,False,False,False
ENSG00000125730,206,True,,,,,0.5794375113424297,False,False,False,,,,,False,False,False
ENSG00000189334,207,True,,,,,0.5790488152403404,False,False,False,,,,,False,False,False
ENSG00000099953,208,True,,,,,0.5784560257653386,False,False,False,,,,,False,False,False
ENSG00000127920,209,True,,,,,0.5764277681303169,False,False,False,Endothelial,,Endothelial,Endothelial,False,False,False
ENSG00000136167,210,True,,,,,0.5752162567638187,False,False,False,,,,,False,False,False
ENSG00000184292,211,True,,,,,0.5724527703990989,False,False,False,,,,,False,False,False
ENSG00000091986,212,True,,,,,0.5701287460613285,False,False,False,,,,,False,False,False
ENSG00000179144,213,True,,,,,0.569997295289198,False,False,False,,,,,False,False,False
ENSG00000136490,214,True,,,,,0.5656630901588592,False,False,False,,,,,False,False,False
ENSG00000198832,215,True,,,,,0.5648691289022465,False,False,False,,,,,False,False,False
ENSG00000120215,216,True,,,,,0.5636376574555716,False,False,False,,,,,False,False,False
ENSG00000160255,217,True,,,,,0.562914382243495,False,False,False,,,,,False,False,False
ENSG00000186847,218,True,,,,,0.5614049599998444,False,False,False,,,,,False,False,False
ENSG00000106624,219,True,,,,,0.5609522112643931,False,False,False,,,,,False,False,False
ENSG00000189171,220,True,,,,,0.5523027048718931,False,False,False,,,,,False,False,False
ENSG00000143387,221,True,,,,,0.5522298784353536,False,False,False,,,,,False,False,False
ENSG00000109610,222,True,,,,,0.5507543501154829,False,False,False,,,,,False,False,False
ENSG00000130300,223,True,,,,,0.5500208774005845,False,False,False,,,,,False,False,False
ENSG00000105974,224,True,,,,,0.5496615131926097,False,False,False,,,,,False,False,False
ENSG00000204472,225,True,,,,,0.5486746512562317,False,False,False,,Other,Other,Other,False,False,False
ENSG00000143248,226,True,,,,,0.5447114917614342,False,False,False,,,,,False,False,False
ENSG00000182326,227,True,,,,,0.5394602841412014,False,False,False,,,,,False,False,False
ENSG00000171476,228,True,,,,,0.5385004746787014,False,False,False,,,,,False,False,False
ENSG00000110799,229,True,,,,,0.5384980290195183,False,False,False,,,,,False,False,False
ENSG00000087245,230,True,,,,,0.5379664164326514,False,False,False,,,,,False,False,False
ENSG00000277734,231,True,,,,,0.5373450126981758,False,False,False,,,,,False,False,False
ENSG00000115461,232,True,,,,,0.5363887942840012,False,False,False,,,,,False,False,False
ENSG00000128422,233,True,,,,,0.533784695985279,False,False,False,,,,,False,False,False
ENSG00000163359,234,True,,,,,0.5325885143339327,False,False,False,,,,,False,False,False
ENSG00000145824,235,True,,,,,0.529187512226628,False,False,False,,,,,False,False,False
ENSG00000163220,236,True,,,,,0.526927179847994,False,False,False,,,,,False,False,False
ENSG00000171346,237,True,,,,,0.5260178962370277,False,False,False,,,,,False,False,False
ENSG00000126353,238,True,,,,,0.5252695620194899,False,False,False,DC,,DC,DC,False,False,False
ENSG00000107562,239,True,,,,,0.5218356653868188,False,False,False,,,,,False,False,False
ENSG00000204262,240,True,,,,,0.5217462007434133,False,False,False,,,,,False,False,False
ENSG00000167244,241,True,,,,,0.5164984774436515,False,False,False,,,,,False,False,False
ENSG00000166426,242,True,,,,,0.5151763496408884,False,False,False,,,,,False,False,False
ENSG00000143320,243,True,,,,,0.5123484090913112,False,False,False,,,,,False,False,False
ENSG00000111799,244,True,,,,,0.5122273683245778,False,False,False,,,,,False,False,False
ENSG00000172889,245,True,,,,,0.5107806245012109,False,False,False,Epithelial,,Epithelial,Epithelial,False,False,False
ENSG00000261371,246,True,,,,,0.5099846895345151,False,False,False,,,,,False,False,False
ENSG00000008394,247,True,,,,,0.508433396008401,False,False,False,,,,,False,False,False
ENSG00000189143,248,True,,,,,0.5084194966316086,False,False,False,,,,,False,False,False
ENSG00000106541,249,True,,,,,0.5071725464916204,False,False,False,,,,,False,False,False
ENSG00000169508,250,True,,,,,0.5023844904348921,False,False,False,,,,,False,False,False
ENSG00000170323,251,True,,,,,0.4991911662117014,False,False,False,,,,,False,False,False
ENSG00000038427,252,True,,,,,0.4908406463779738,False,False,False,,,,,False,False,False
ENSG00000172215,253,True,,,,,0.4905004879612443,False,False,False,,,,,False,False,False
ENSG00000240583,254,True,,,,,0.48912370899015467,False,False,False,,,,,False,False,False
ENSG00000188404,255,True,,,,,0.48855788636118785,False,False,False,,,,,False,False,False
ENSG00000129226,256,True,,,,,0.48217758275192013,False,False,False,,,,,False,False,False
ENSG00000142173,257,True,,,,,0.48157795346335425,False,False,False,,Fibroblast,Fibroblast,Fibroblast,False,False,False
ENSG00000106565,258,True,,,,,0.4808174984843951,False,False,False,,,,,False,False,False
ENSG00000129824,259,True,,,,,0.48028789415873235,False,False,False,,,,,False,False,False
ENSG00000143546,260,True,,,,,0.47269946795545853,False,False,False,,,,,False,False,False
ENSG00000130635,261,True,,,,,0.4626957698816979,False,False,False,,,,,False,False,False
ENSG00000049768,262,True,,,,,0.4597623178847642,False,False,False,,,,,False,False,False
ENSG00000089356,263,True,,,,,0.4587173477167837,False,False,False,,,,,False,False,False
ENSG00000187498,264,True,,,,,0.4570533103150984,False,False,False,,,,,False,False,False
ENSG00000110077,265,True,,,,,0.45538308002281525,False,False,False,,,,,False,False,False
ENSG00000166741,266,True,,,,,0.4537497827658552,False,False,False,,,,,False,False,False
ENSG00000077942,267,True,,,,,0.4527665889373578,False,False,False,,,,,False,False,False
